ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,metadata,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count
False,2022-12-21 20:34:07.574538,,article 1523239 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2891422492,2022-12-21 19:53:32,2514093262,[],Bad Bunny lanzar la ltima cancin del ao junto a un grande del reguetn,https://www.milenio.com/espectaculos/bad-bunny-lanzara-cancion-nengo-flow,
False,2022-12-21 20:34:10.473291,,article 1523228 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2891422623,2022-12-21 19:41:00,2514093321,[],"Solsticio de invierno 2022: qu es, cundo y a qu hora empieza en Mxico?",https://www.milenio.com/ciencia-y-salud/solsticio-invierno-2022-que-es-cuando-a-que-hora-empieza-mexico,
False,2022-12-23 00:20:21.589609,,article 1523805 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2892465045,2022-12-22 22:46:11,2515253503,[],Festival Machaca anuncia el regreso de Korn a Mxico,https://www.milenio.com/espectaculos/festival-machaca-korn-regresa-a-mexico,
False,2022-12-25 18:58:49.440606,,article 1524672 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2894342437,2022-12-25 18:34:00,2517388162,[],"Muere Kathy Whitworth, golfista con ms ttulos LPGA, a los 83 aos",https://www.milenio.com/deportes/mas-aficion/muio-kathy-whitworth-golfista-titulos-lpga-83-anos,
False,2022-12-28 13:11:12.233366,,article 1525731 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2896573857,2022-12-28 12:05:00,2519905563,[],"AMLO prev etapa difcil por cambio de sexenio: ""opositores se van a radicalizar""",https://www.milenio.com/politica/amlo-preve-etapa-dificil-por-cambio-de-sexenio,
False,2022-12-29 12:14:33.908526,,article 1526185 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2897430075,2022-12-29 11:45:00,2520874666,[],"AMLO pide a 'corcholatas' autolimitarse y no cometer excesos; ""al que pase de listo, se le revierte""",https://www.milenio.com/politica/amlo-pide-a-corcholatas-autolimitarse-y-no-cometer-excesos,
False,2023-01-01 21:30:33.239521,,article 1527415 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2899755350,2023-01-01 21:05:00,2523511241,[],Felipe Ramos Rizo y su envidiable coleccin de Batman: ?son ms de 600 piezas?,https://www.milenio.com/deportes/extra-cancha/felipe-ramos-rizo-presume-coleccion-batman-cientos-piezas,
False,2023-01-02 15:34:54.803374,,article 1527673 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2900343895,2023-01-02 15:10:34,2524167667,[],Qu es eso?! Cucaracha es captada en escena de 'Rub' a ms de 20 aos de su estreno,https://www.milenio.com/virales/tiktok-captan-cucaracha-escena-telenovela-rubi,
False,2023-01-03 18:04:07.494530,,article 1528204 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2901251235,2023-01-03 17:51:48,2525201788,[],Vagn de Metro de CdMx viaja con puertas abiertas; video se vuelve viral,https://www.milenio.com/estilo/tiktok-puertas-metro-cdmx-abren-camino,
False,2023-01-04 10:48:18.327212,,article 1528060 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2901866297,2023-01-04 10:30:00,2525881135,[],Luis R. Conriquez recibe EXTRAA carta durante concierto; usuarios recuerdan a Chalino Snchez | VIDEO,https://www.milenio.com/virales/luis-conriquez-recibe-extrana-carta-concierto-video,
False,2023-01-04 16:36:34.596892,,article 1528770 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2902124822,2023-01-04 16:19:43,2526173128,[],Amcham estima que inflacin general y subyacente hayan incrementado en diciembre,https://www.milenio.com/negocios/amcham-estima-que-inflacion-haya-incrementado-en-diciembre,
False,2023-01-08 05:00:53.014404,,article 1530295 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2904828559,2023-01-07 23:31:31,2529223227,[],Chiefs amarran el primer lugar de AFC con triunfo sobre Raiders en cierre de temporada de la NFL,https://www.milenio.com/deportes/americano/chiefs-amarran-el-primer-lugar-de-afc-con-triunfo-sobre-raiders,
False,2023-01-09 21:03:45.017214,,article 1531031 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2906215507,2023-01-09 20:44:08,2530810877,[],IP de EU pide fortalecer comercio en Amrica del Norte,https://www.milenio.com/negocios/ip-eu-pide-fortalecer-comercio-america-norte,
False,2023-01-09 22:34:05.561197,,article 1531075 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2906253598,2023-01-09 22:27:33,2530854104,[],"Mxico, EU y Canad firman alianza contra desigualdad",https://www.milenio.com/politica/mexico-eu-canada-firman-alianza-desigualdad,
False,2023-01-09 23:03:41.893760,,article 1531086 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2906266999,2023-01-09 22:52:46,2530869983,[],AMLO presume a Biden el Zcalo de CdMx y campana de Dolores,https://www.milenio.com/politica/amlo-presume-biden-zocalo-cdmx-campana-dolores,
False,2023-01-10 12:35:26.795408,,article 1531309 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2906870966,2023-01-10 12:23:00,2531532411,[],"Mujer de EU exhibe a norteamericanos que llegan a Puerto Vallarta: ""gringos siendo terribles""",https://www.milenio.com/virales/puerto-vallarta-mujer-de-eu-exhibe-gringos-mexico-terribles,
False,2023-01-10 14:34:43.549516,,article 1531368 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2906965343,2023-01-10 14:31:00,2531638264,[],Mayeli Alonso es atacada con racismo por nueva suegra de Lupillo Rivera; el cantante reacciona al pleito con su ex esposa,https://www.milenio.com/espectaculos/famosos/lupillo-rivera-reacciona-a-pelea-de-mayeli-y-su-suegra-racismo-video,
False,2023-01-10 19:38:39.742258,,article 1531593 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2907154522,2023-01-10 19:34:00,2531857371,[],Estamos evitando entrada de fentanilo y destruyendo laboratorios: AMLO tras cumbre con EU y Canad,https://www.milenio.com/politica/amlo-destaca-campana-fentanilo-destruccion-laboratorios,
False,2023-01-10 22:31:04.474872,,article 1531654 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2907228411,2023-01-10 21:28:00,2531942302,[],"Frontera de Mxico y EU, la ms dinmica del mundo: American Asossiation of Mexico",https://www.milenio.com/negocios/inseguridad-cuesta-8-invesiones-mexico-american-asossiation,
False,2023-01-11 17:09:40.823286,,article 1532086 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2908096841,2023-01-11 16:49:01,2532899603,[],Jugadoras de Chivas Femenil son reconocidas en el Senado de la Repblica,https://www.milenio.com/futbol/club-guadalajara/chivas-femenil-son-reconocidas-en-el-senado-de-la-republica,
False,2023-01-12 19:29:43.813591,,article 1532743 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2909185095,2023-01-12 19:11:00,2534125166,[],Stoffel Vandoorne sobre ePrix de CdMx 2023: ?Ser una carrera dura; iniciar aqu es genial?,https://www.milenio.com/deportes/motor/stoffel-vandoorne-sobre-eprix-de-cdmx-2023-sera-una-carrera-dura,
False,2023-01-13 00:25:19.431048,,article 1532890 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2909315226,2023-01-13 00:07:00,2534277200,[],"Usuarios reportan fallas en servicio de Telcel; ""no hay seal"", afirman",https://www.milenio.com/negocios/telcel-usuarios-reportan-fallas-llamadas-internet,
False,2023-01-13 13:44:33.419672,,article 1533099 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2909941077,2023-01-13 13:13:25,2534967263,[],Vas a tramitar tu visa americana? Estados Unidos ELIMIN la entrevista para estos casos,https://www.milenio.com/politica/comunidad/visa-americana-ya-no-sera-necesaria-la-entrevista-para-el-tramite,
False,2023-01-13 16:43:27.759363,,article 1533194 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2910061235,2023-01-13 16:07:49,2535105179,[],Guardia Nacional debe ser canalizada a municipios donde hay inseguridad: Monreal,https://www.milenio.com/politica/monreal-guardia-nacional-deberia-destinada-municipios,
False,2023-01-13 22:38:31.784184,,article 1533360 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2910207603,2023-01-13 22:07:10,2535279433,[],Cargadores rebasan en dinamismo de venta a autos hbridos y elctricos: ABB Mxico,https://www.milenio.com/negocios/cargadores-rebasan-dinamismo-venta-autos-hibridos-electricos,
False,2023-01-15 15:32:59.048975,,article 1533800 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2911353498,2023-01-15 14:06:13,2536571661,[],Miss Kosovo captada molesta ante el nombramiento de Estados Unidos como Miss Universo,https://www.milenio.com/virales/miss-universo-reaccion-miss-kosovo-unidos-gano,
False,2023-01-16 05:50:52.501908,,article 1534064 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2911744046,2023-01-16 04:37:22,2537012666,[],Abuelita se niega a baarse hasta que Yahir se lo pidi... Esto es lo que pas,https://www.milenio.com/espectaculos/abuelita-se-niega-a-banarse-hasta-que-yahir-se-lo-pidio,
